Single Year of Age,Female,Male,Difference (Female - Male)
0,28186,29610,-1424
1,27545,28875,-1330
2,28974,30236,-1262
3,29483,31001,-1518
4,29819,31686,-1867
5,31342,32684,-1342
6,32622,34092,-1470
7,33572,35429,-1857
8,34437,36296,-1859
9,35227,36969,-1742
10,36066,38035,-1969
11,36863,38296,-1433
12,37297,38957,-1660
13,36782,38474,-1692
14,36080,37352,-1272
15,34492,35948,-1456
16,33168,34646,-1478
17,33045,34981,-1936
18,32852,33900,-1048
19,31729,32867,-1138
20,31624,32120,-496
21,29890,30771,-881
22,30768,31450,-682
23,30051,30871,-820
24,29364,30234,-870
25,29294,29969,-675
26,28864,29376,-512
27,29528,29162,366
28,29788,28902,886
29,30936,29989,947
30,32841,30858,1983
31,33710,32237,1473
32,34382,32413,1969
33,34489,31888,2601
34,36284,33121,3163
35,37940,34695,3245
36,39030,35828,3202
37,39193,36427,2766
38,40902,37513,3389
39,42592,38749,3843
40,43143,40301,2842
41,43696,41401,2295
42,43337,41644,1693
43,41408,39275,2133
44,39379,37940,1439
45,38506,37710,796
46,38127,37289,838
47,37471,37053,418
48,37145,36472,673
49,37081,36650,431
50,36199,36050,149
51,35025,34926,99
52,34414,34356,58
53,32204,32611,-407
54,32168,32050,118
55,31563,31353,210
56,31279,30684,595
57,31764,30891,873
58,30660,29775,885
59,30000,29196,804
60,29063,28455,608
61,28856,27849,1007
62,27899,27116,783
63,26312,25884,428
64,26109,25127,982
65,25183,24900,283
66,24662,23759,903
67,24524,23627,897
68,23018,22502,516
69,23375,22594,781
70,21897,21253,644
71,21236,20449,787
72,21159,19965,1194
73,20134,19121,1013
74,19177,18493,684
75,18294,17473,821
76,17665,16094,1571
77,15971,14601,1370
78,14666,13392,1274
79,13938,12166,1772
80,12173,10674,1499
81,11191,9470,1721
82,10759,8779,1980
83,9985,7900,2085
84,8890,6765,2125
85,8303,6154,2149
86,7501,5370,2131
87,6766,4515,2251
88,5927,3771,2156
89,4961,3036,1925
90,4285,2444,1841
91,3781,1950,1831
92,2809,1297,1512
93,2320,937,1383
94,1737,718,1019
95,1344,482,862
96,956,327,629
97,732,217,515
98,492,130,362
99,336,105,231
100,584,154,430
