Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Carlow County Council,0,353,346,7
Carlow County Council,1,302,347,-45
Carlow County Council,2,334,355,-21
Carlow County Council,3,378,376,2
Carlow County Council,4,369,376,-7
Carlow County Council,5,365,384,-19
Carlow County Council,6,367,383,-16
Carlow County Council,7,455,434,21
Carlow County Council,8,404,415,-11
Carlow County Council,9,435,447,-12
Carlow County Council,10,446,475,-29
Carlow County Council,11,450,514,-64
Carlow County Council,12,467,441,26
Carlow County Council,13,459,484,-25
Carlow County Council,14,465,486,-21
Carlow County Council,15,411,432,-21
Carlow County Council,16,442,431,11
Carlow County Council,17,414,463,-49
Carlow County Council,18,466,437,29
Carlow County Council,19,381,446,-65
Carlow County Council,20,366,444,-78
Carlow County Council,21,381,432,-51
Carlow County Council,22,361,408,-47
Carlow County Council,23,344,376,-32
Carlow County Council,24,329,340,-11
Carlow County Council,25,295,330,-35
Carlow County Council,26,333,330,3
Carlow County Council,27,309,349,-40
Carlow County Council,28,329,304,25
Carlow County Council,29,360,353,7
Carlow County Council,30,338,367,-29
Carlow County Council,31,390,349,41
Carlow County Council,32,384,362,22
Carlow County Council,33,384,366,18
Carlow County Council,34,414,360,54
Carlow County Council,35,446,387,59
Carlow County Council,36,438,397,41
Carlow County Council,37,457,451,6
Carlow County Council,38,483,465,18
Carlow County Council,39,553,453,100
Carlow County Council,40,487,494,-7
Carlow County Council,41,537,487,50
Carlow County Council,42,517,528,-11
Carlow County Council,43,463,487,-24
Carlow County Council,44,459,448,11
Carlow County Council,45,498,447,51
Carlow County Council,46,486,463,23
Carlow County Council,47,418,453,-35
Carlow County Council,48,430,411,19
Carlow County Council,49,493,453,40
Carlow County Council,50,454,443,11
Carlow County Council,51,436,379,57
Carlow County Council,52,403,420,-17
Carlow County Council,53,385,400,-15
Carlow County Council,54,382,423,-41
Carlow County Council,55,392,412,-20
Carlow County Council,56,418,377,41
Carlow County Council,57,385,355,30
Carlow County Council,58,368,356,12
Carlow County Council,59,360,383,-23
Carlow County Council,60,317,356,-39
Carlow County Council,61,350,334,16
Carlow County Council,62,380,333,47
Carlow County Council,63,316,326,-10
Carlow County Council,64,323,287,36
Carlow County Council,65,306,322,-16
Carlow County Council,66,286,283,3
Carlow County Council,67,291,271,20
Carlow County Council,68,274,291,-17
Carlow County Council,69,311,276,35
Carlow County Council,70,245,277,-32
Carlow County Council,71,259,238,21
Carlow County Council,72,278,248,30
Carlow County Council,73,228,233,-5
Carlow County Council,74,229,246,-17
Carlow County Council,75,197,207,-10
Carlow County Council,76,211,201,10
Carlow County Council,77,188,184,4
Carlow County Council,78,156,156,0
Carlow County Council,79,171,168,3
Carlow County Council,80,163,116,47
Carlow County Council,81,148,117,31
Carlow County Council,82,131,109,22
Carlow County Council,83,102,101,1
Carlow County Council,84,111,87,24
Carlow County Council,85,77,64,13
Carlow County Council,86,86,73,13
Carlow County Council,87,62,57,5
Carlow County Council,88,68,37,31
Carlow County Council,89,54,32,22
Carlow County Council,90,48,17,31
Carlow County Council,91,45,27,18
Carlow County Council,92,24,14,10
Carlow County Council,93,22,4,18
Carlow County Council,94,18,6,12
Carlow County Council,95,12,2,10
Carlow County Council,96,8,3,5
Carlow County Council,97,9,2,7
Carlow County Council,98,5,2,3
Carlow County Council,99,6,1,5
Carlow County Council,100,3,0,3
Cavan County Council,0,501,505,-4
Cavan County Council,1,477,527,-50
Cavan County Council,2,520,541,-21
Cavan County Council,3,525,560,-35
Cavan County Council,4,492,555,-63
Cavan County Council,5,544,599,-55
Cavan County Council,6,591,585,6
Cavan County Council,7,555,607,-52
Cavan County Council,8,615,602,13
Cavan County Council,9,602,687,-85
Cavan County Council,10,661,651,10
Cavan County Council,11,624,704,-80
Cavan County Council,12,672,645,27
Cavan County Council,13,634,709,-75
