Administrative Counties,Weighted Mean Female,Weighted Mean Male,Difference in Weighted Means (Female - Male),Abs Difference in Weighted Means
Carlow County Council,35.390448261416005,35.35205571781622,0.038392543599783835,0.038392543599783835
Cavan County Council,35.42308943089431,35.432479224376735,-0.009389793482426967,0.009389793482426967
Clare County Council,35.46672661870504,35.42708719851577,0.03963942018926758,0.03963942018926758
Cork City Council,35.04663291139241,35.01972145439081,0.026911457001595807,0.026911457001595807
Cork County Council,35.51369372763232,35.50805703197503,0.0056366956572944105,0.0056366956572944105
Donegal County Council,35.3591452991453,35.338668675265986,0.020476623879311262,0.020476623879311262
Dublin City Council,34.73156056225034,34.745888576732874,-0.014328014482536844,0.014328014482536844
Dún Laoghaire Rathdown County Council,35.19728997289973,35.1383389949631,0.0589509779366324,0.0589509779366324
Fingal County Council,35.41671249828131,35.42527724665392,-0.008564748372606346,0.008564748372606346
Galway City Council,35.006013071895424,34.961291224147566,0.04472184774785859,0.04472184774785859
Galway County Council,35.53970080552359,35.53570565976975,0.003995145753840745,0.003995145753840745
Kerry County Council,35.496719101123595,35.37139700713066,0.12532209399293492,0.12532209399293492
Kildare County Council,35.44461702747306,35.45134165283059,-0.006724625357534819,0.006724625357534819
Kilkenny County Council,35.40510706210932,35.37749572162008,0.027611340489244185,0.027611340489244185
Laois County Council,35.54839145715058,35.48349571033881,0.06489574681177146,0.06489574681177146
Leitrim County Council,35.3388,35.47753064003631,-0.1387306400363144,0.1387306400363144
Limerick City & County Council,35.29688270083785,35.280226209048365,0.01665649178948314,0.01665649178948314
Longford County Council,35.441834760983696,35.411639244363194,0.030195516620501905,0.030195516620501905
Louth County Council,35.34699853587116,35.33580950442658,0.011189031444580166,0.011189031444580166
Mayo  County Council,35.45606608156944,35.38295974127356,0.07310634029587959,0.07310634029587959
Meath County Council,35.42692633361558,35.46148551404793,-0.03455918043234618,0.03455918043234618
Monaghan County Council,35.411315300433614,35.390356671070016,0.020958629363597936,0.020958629363597936
Offaly County Council,35.40210867802109,35.413739130434784,-0.011630452413697867,0.011630452413697867
Roscommon County Council,35.46910055068326,35.42590149516271,0.043199055520545926,0.043199055520545926
Sligo County Council,35.4648200566114,35.48202723822282,-0.01720718161141832,0.01720718161141832
South Dublin County Council,35.34145138651796,35.363370986165755,-0.021919599647794996,0.021919599647794996
Tipperary County Council,35.39308963445168,35.38448814556148,0.00860148889019996,0.00860148889019996
Waterford City & County Council,35.319482432148114,35.2408497863988,0.07863264574931605,0.07863264574931605
Westmeath County Council,35.3305373525557,35.32867823388348,0.0018591186722218822,0.0018591186722218822
Wexford County Council,35.36868936030258,35.26792313377679,0.10076622652579204,0.10076622652579204
Wicklow County Council,35.54199112450808,35.4999032694912,0.04208785501688084,0.04208785501688084
