Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
1 year,432,669,906,1522,2743,1254,3799,1624,2596,504,1478,37613,1033,1991,747,672,270,1490,321,1020,1044,1758,547,624,509,510,2448,1205,844,772,1149,1121
10 years,614,874,1249,1720,3768,1673,4116,2023,3782,592,1982,49400,1377,2583,1078,1041,334,1912,485,1416,1271,2504,689,862,672,678,3198,1650,1183,936,1582,1548
100 years and over,2,12,12,17,36,22,66,36,14,5,28,492,9,16,12,6,2,27,4,18,20,14,5,3,8,8,24,15,12,8,10,12
11 years,642,885,1214,1796,3901,1722,4037,2013,3644,647,1985,50106,1410,2720,1072,1035,354,1986,489,1457,1316,2598,671,844,705,637,3154,1620,1251,989,1606,1692
12 years,605,878,1322,1793,3934,1749,4189,1994,3861,587,1962,50836,1503,2694,1066,1083,354,1922,487,1474,1308,2584,704,866,698,684,3236,1714,1288,977,1628,1683
13 years,628,895,1249,1729,3888,1754,4026,1984,3656,652,2026,50170,1462,2644,1074,1022,331,1967,508,1535,1258,2523,700,904,691,655,3118,1668,1284,950,1747,1631
14 years,634,841,1232,1694,3756,1740,3832,1944,3532,587,2029,48954,1466,2629,1031,1035,330,1932,482,1440,1277,2462,682,850,664,661,3054,1681,1237,948,1608,1656
15 years,562,847,1258,1700,3616,1648,3628,1850,3298,584,1850,46960,1418,2500,1058,982,352,1829,494,1426,1226,2333,640,834,668,636,2848,1618,1217,908,1574,1546
16 years,582,774,1233,1614,3447,1627,3605,1822,3020,574,1975,45209,1338,2344,970,875,329,1818,444,1380,1252,2183,607,777,676,610,2721,1541,1207,898,1536,1420
17 years,584,790,1229,1631,3403,1577,3760,1848,3044,569,1857,45350,1402,2412,976,947,330,1743,430,1360,1220,2130,650,774,642,622,2741,1637,1150,885,1510,1488
18 years,602,738,1126,1765,3190,1523,4289,1958,2982,688,1697,44501,1285,2397,942,866,299,1800,406,1301,1166,2059,532,814,599,598,2647,1423,1132,842,1484,1341
19 years,551,610,1100,2270,2820,1208,4896,2157,2905,1176,1500,43064,1118,2326,750,753,219,1926,375,1180,945,1928,489,678,485,614,2634,1184,1062,744,1208,1243
2 years,459,707,982,1537,2860,1314,3886,1659,2872,528,1566,39473,1100,2068,786,779,302,1582,362,1129,1017,1900,580,630,595,509,2489,1224,886,738,1223,1197
20 years,540,562,1044,2360,2524,1203,5402,2184,2768,1349,1368,42496,1086,2222,726,698,229,1954,374,1278,873,1820,435,660,464,584,2466,1215,1042,736,1176,1144
21 years,542,554,901,2345,2380,1138,5426,2056,2528,1389,1233,40440,1012,2033,696,683,184,1771,338,1140,842,1697,445,588,458,572,2455,1170,987,731,1054,1082
22 years,512,570,1002,2451,2368,1154,6060,2161,2551,1309,1184,41478,1037,1926,662,662,214,1967,344,1145,862,1620,444,610,443,543,2482,1188,980,735,1177,1106
23 years,480,583,854,2333,2258,1047,6654,2164,2488,1148,1150,40614,1064,1906,662,640,219,1731,332,1052,828,1546,441,596,428,501,2522,1130,974,701,1148,1023
24 years,446,551,836,2278,2175,1038,7061,2112,2394,1151,1100,39732,988,1783,690,603,181,1696,297,979,772,1502,442,591,374,491,2433,1139,899,718,1063,938
25 years,416,560,838,2341,2061,984,7534,2073,2418,1100,1080,39508,986,1767,668,567,190,1750,294,943,757,1361,398,569,408,473,2422,1081,844,694,1024,896
