Single Year of Age,Female,Male
0,909,955
1,888,931
2,934,975
3,951,1000
4,961,1022
5,1011,1054
6,1052,1099
7,1082,1142
8,1110,1170
9,1136,1192
10,1163,1226
11,1189,1235
12,1203,1256
13,1186,1241
14,1163,1204
15,1112,1159
16,1069,1117
17,1065,1128
18,1059,1093
19,1023,1060
20,1020,1036
21,964,992
22,992,1014
23,969,995
24,947,975
25,944,966
26,931,947
27,952,940
28,960,932
29,997,967
30,1059,995
31,1087,1039
32,1109,1045
33,1112,1028
34,1170,1068
35,1223,1119
36,1259,1155
37,1264,1175
38,1319,1210
39,1373,1249
40,1391,1300
41,1409,1335
42,1397,1343
43,1335,1266
44,1270,1223
45,1242,1216
46,1229,1202
47,1208,1195
48,1198,1176
49,1196,1182
50,1167,1162
51,1129,1126
52,1110,1108
53,1038,1051
54,1037,1033
55,1018,1011
56,1009,989
57,1024,996
58,989,960
59,967,941
60,937,917
61,930,898
62,899,874
63,848,834
64,842,810
65,812,803
66,795,766
67,791,762
68,742,725
69,754,728
70,706,685
71,685,659
72,682,644
73,649,616
74,618,596
75,590,563
76,569,519
77,515,471
78,473,432
79,449,392
80,392,344
81,361,305
82,347,283
83,322,254
84,286,218
85,267,198
86,241,173
87,218,145
88,191,121
89,160,97
90,138,78
91,121,62
92,90,41
93,74,30
94,56,23
95,43,15
96,30,10
97,23,7
98,15,4
99,10,3
100,18,4
