Batch ref,Penicllin_harvested_during_batch(kg),Penicllin_harvested_end_of_batch (kg),Penicllin_yield_total (kg),Fault ref(0-NoFault 1-Fault)
1,1.0664e+06,1.72e+06,2.7864e+06,0
2,9.8591e+05,1.3401e+06,2.326e+06,0
3,1.4161e+06,1.2592e+06,2.6753e+06,0
4,8.157e+05,1.071e+06,1.8867e+06,0
5,1.1285e+06,2.4344e+06,3.5629e+06,0
6,1.0057e+06,1.3831e+06,2.3887e+06,0
7,1.1476e+06,2.307e+06,3.4546e+06,0
8,1.2012e+06,2.6762e+06,3.8774e+06,0
9,1.7578e+06,2.3253e+06,4.0831e+06,0
10,8.7843e+05,1.1036e+06,1.982e+06,0
11,9.7518e+05,9.9013e+05,1.9653e+06,0
12,1.2644e+06,2.7056e+06,3.9701e+06,0
13,1.3601e+06,9.066e+05,2.2667e+06,0
14,1.1508e+06,2.4348e+06,3.5856e+06,0
15,1.0951e+06,1.7575e+06,2.8526e+06,0
16,1.1042e+06,2.4751e+06,3.5793e+06,0
17,1.6102e+06,2.2417e+06,3.8519e+06,0
18,8.8829e+05,1.1252e+06,2.0135e+06,0
19,1.3358e+06,2.675e+06,4.0108e+06,0
20,9.3249e+05,1.3011e+06,2.2336e+06,0
21,1.3196e+06,1.2487e+06,2.5683e+06,0
22,1.0515e+06,1.7262e+06,2.7777e+06,0
23,1.066e+06,1.7891e+06,2.8551e+06,0
24,8.7625e+05,1.0822e+06,1.9584e+06,0
25,1.4009e+06,2.316e+06,3.7169e+06,0
26,1.2445e+06,2.6423e+06,3.8868e+06,0
27,9.4365e+05,1.2326e+06,2.1762e+06,0
28,1.0381e+06,1.6713e+06,2.7094e+06,0
29,1.0439e+06,7.9855e+05,1.8424e+06,0
30,1.1325e+06,2.4063e+06,3.5388e+06,0
31,7.0922e+05,1.1809e+06,1.8901e+06,0
32,1.2636e+06,2.9324e+06,4.196e+06,0
33,9.5493e+05,2.3392e+06,3.2941e+06,0
34,9.1007e+05,1.1563e+06,2.0664e+06,0
35,1.1645e+06,2.3734e+06,3.5379e+06,0
36,8.1988e+05,9.3418e+05,1.7541e+06,0
37,8.5869e+05,1.7732e+06,2.6319e+06,0
38,9.6802e+05,1.4235e+06,2.3915e+06,0
39,6.7976e+05,2.0019e+06,2.6817e+06,0
40,9.8315e+05,1.4431e+06,2.4263e+06,0
41,1.2808e+06,1.6413e+06,2.9221e+06,0
42,9.7898e+05,1.3795e+06,2.3585e+06,0
43,7.7752e+05,1.4349e+06,2.2124e+06,0
44,7.1655e+05,7.5755e+05,1.4741e+06,0
45,1.5024e+06,1.3254e+06,2.8278e+06,0
46,8.9224e+05,1.1692e+06,2.0615e+06,0
47,1.0602e+06,1.5262e+06,2.5864e+06,0
48,1.1768e+06,2.0882e+06,3.265e+06,0
49,5.8807e+05,2.0089e+06,2.5969e+06,0
50,1.095e+06,1.9698e+06,3.0649e+06,0
51,8.4852e+05,2.07e+06,2.9185e+06,0
52,1.1925e+06,2.5653e+06,3.7578e+06,0
53,1.0719e+06,1.7859e+06,2.8578e+06,0
54,1.0932e+06,2.0906e+06,3.1838e+06,0
55,1.1812e+06,2.6031e+06,3.7844e+06,0
56,1.0437e+06,1.6789e+06,2.7226e+06,0
57,1.8665e+06,2.1926e+06,4.0591e+06,0
58,1.0722e+06,1.6852e+06,2.7575e+06,0
59,1.0721e+06,1.8379e+06,2.91e+06,0
60,1.1845e+06,2.6178e+06,3.8023e+06,0
61,1.1809e+06,1.8817e+06,3.0626e+06,0
62,1.1776e+06,2.546e+06,3.7236e+06,0
63,1.656e+06,2.3358e+06,3.9918e+06,0
64,1.0966e+06,2.2651e+06,3.3617e+06,0
65,1.4045e+06,2.3806e+06,3.7852e+06,0
66,1.2532e+06,2.5895e+06,3.8427e+06,0
67,1.1498e+06,2.2634e+06,3.4133e+06,0
68,1.1404e+06,2.4325e+06,3.5729e+06,0
69,1.4217e+06,2.3297e+06,3.7514e+06,0
70,1.0937e+06,2.2139e+06,3.3076e+06,0
71,6.427e+05,2.1881e+06,2.8308e+06,0
72,1.0581e+06,2.219e+06,3.2771e+06,0
73,1.1977e+06,2.3511e+06,3.5488e+06,0
74,9.6392e+05,2.0177e+06,2.9816e+06,0
75,1.1314e+06,1.968e+06,3.0995e+06,0
76,1.1246e+06,2.2908e+06,3.4154e+06,0
77,1.1983e+06,2.6137e+06,3.812e+06,0
78,1.1506e+06,2.438e+06,3.5886e+06,0
79,1.6507e+06,2.1749e+06,3.8256e+06,0
80,1.1428e+06,2.4233e+06,3.5662e+06,0
81,9.8985e+05,2.1964e+06,3.1862e+06,0
82,1.1765e+06,2.4316e+06,3.6081e+06,0
83,1.2987e+06,2.5384e+06,3.8371e+06,0
84,1.1409e+06,2.3472e+06,3.4881e+06,0
85,1.587e+06,2.4573e+06,4.0443e+06,0
86,1.0274e+06,2.2933e+06,3.3208e+06,0
87,1.2095e+06,2.2611e+06,3.4706e+06,0
88,9.6961e+05,2.0897e+06,3.0593e+06,0
89,1.085e+06,2.2064e+06,3.2914e+06,0
90,1.114e+06,2.3503e+06,3.4642e+06,0
91,6.3094e+05,1.9664e+06,2.5974e+06,1
92,7.9836e+05,9.5423e+05,1.7526e+06,1
93,2.0897e+06,2.3579e+06,4.4477e+06,1
94,1.1519e+06,2.4322e+06,3.5841e+06,1
95,9.9574e+05,9.5871e+05,1.9545e+06,1
96,1.1415e+06,2.4534e+06,3.595e+06,1
97,1.4394e+06,2.4549e+06,3.8943e+06,1
98,7.9976e+05,9.3083e+05,1.7306e+06,1
99,3.8865e+05,5.0218e+05,8.9083e+05,1
100,7.5308e+05,8.0193e+05,1.555e+06,1
